data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-09T08:00:00;Padova;Azienda Ospedale Università di Padova;52;16;22;3
2020-03-09T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-09T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;22;1;0;2
2020-03-09T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;0;0;0
2020-03-09T08:00:00;Belluno;Ospedale Belluno;5;0;0;0
2020-03-09T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-09T08:00:00;Belluno;Ospedale Feltre;0;0;0;0
2020-03-09T08:00:00;Belluno;Ospedale Agordo;0;0;0;0
2020-03-09T08:00:00;Treviso;Ospedale Treviso;66;4;0;9
2020-03-09T08:00:00;Treviso;Ospedale Oderzo;0;0;0;0
2020-03-09T08:00:00;Treviso;Ospedale Conegliano;4;3;0;0
2020-03-09T08:00:00;Treviso;Ospedale Vittorio Veneto °;1;0;0;0
2020-03-09T08:00:00;Treviso;Ospedale Castelfranco;2;0;0;0
2020-03-09T08:00:00;Treviso;Ospedale Montebelluna;0;0;0;0
2020-03-09T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-09T08:00:00;Venezia;Ospedale Mestre;29;9;1;3
2020-03-09T08:00:00;Venezia;Ospedale Venezia;11;4;2;1
2020-03-09T08:00:00;Venezia;Ospedale Mirano;5;3;0;0
2020-03-09T08:00:00;Venezia;Ospedale Dolo °;0;0;0;0
2020-03-09T08:00:00;Venezia;Ospedale Chioggia;1;0;0;1
2020-03-09T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;0;0;0;0
2020-03-09T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-09T08:00:00;Venezia;Ospedale Jesolo °;0;0;0;0
2020-03-09T08:00:00;Rovigo;Ospedale Rovigo;4;1;2;0
2020-03-09T08:00:00;Rovigo;Ospedale Trecenta °;0;0;0;0
2020-03-09T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-09T08:00:00;Padova;Ospedale Schiavonia °;0;0;0;1
2020-03-09T08:00:00;Padova;Ospedale Piove di Sacco;5;1;0;1
2020-03-09T08:00:00;Padova;Ospedale Cittadella;0;0;0;0
2020-03-09T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-09T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-09T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Santorso °;5;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Bassano;1;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Asiago;0;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Vicenza;12;7;3;0
2020-03-09T08:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Valdagno;0;0;0;0
2020-03-09T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-09T08:00:00;Verona;Ospedale Legnago;3;2;0;0
2020-03-09T08:00:00;Verona;Ospedale San Bonifacio;0;0;0;0
2020-03-09T08:00:00;Verona;Ospedale Villafranca °;1;0;0;0
2020-03-09T08:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-09T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-09T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;8;0;0;0
2020-03-09T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;0;0;0;0
